pathway_id	description	pvalue	bonferroni	n_cd_genes	n_bg_genes	gene_ratio	level_1	level_2	cd_genes	bg_genes
R-HSA-6798695	Neutrophil degranulation	5.593e-27	5.599e-24	51	463	0.11	Immune System	Innate Immune System	CKAP4;;SERPINA3;MAPK14;CSNK2B;AP2A2;AGA;ELANE;SERPINB1;FCER1G;ALDOC;ERP44;FPR1;ALOX5;XRCC6;GYG1;HK3;APEH;HSPA1A;HSPA1B;HSPA8;HSP90AB1;IDH1;HSP90AA1;ITGAM;ITGB2;TBC1D10C;LAMP1;LGALS3;PNP;P2RX1;CAB39;SERPINA1;PLAUR;PLD1;CAND1;CD177;PTPRN2;PYGL;RAB5C;RAP1A;S100A8;S100A9;S100A11;S100A12;TTR;VCL;VCP;XRCC5;DOK3;LAMTOR3;CD36	A1BG;SIGLEC14;TMED7-TICAM2;TOM1;HUWE1;ARPC5;ACTR2;ADAM8;ACTR1B;ATP6AP2;ADAM10;LILRB3;TCIRG1;CRISP3;SIRPB1;TUBB4B;PRG3;ATP8A1;PPIE;CAP1;VAT1;ATG7;PRDX4;AGPAT2;OLFM4;CCT2;NPC2;CCT8;CTSC;IQGAP2;LILRB3;CEACAM3;HPSE;PGRMC1;FGL2;CEACAM8;RAB10;CKAP4;SLC27A2;GLIPR1;LILRA3;RAB31;CHI3L1;CHIT1;PADI2;CD300A;TMC6;PDAP1;CHRNB4;STK11IP;LRG1;;SERPINA3;SLC15A4;CANT1;OSCAR;CNN2;ARL8A;COPB1;CR1;HGSNAT;SIRPA;MAPK14;CSNK2B;CST3;CSTB;NFAM1;CTSB;CTSD;CTSG;CTSH;CTSS;CTSZ;CYBA;CYBB;ABCA13;MOSPD2;CLEC12A;CD55;AP2A2;DDOST;DDX3X;DEFA1B;DEFA1;DEFA3;DEFA4;CFD;CLEC4C;CYB5R3;DIAPH1;AGA;DNASE1L1;DYNC1H1;AGL;DOCK2;DSC1;DSG1;DSP;EEF1A1;EEF2;ANO6;AHSG;ELANE;SERPINB1;MCEMP1;UNC13D;TUBB;STOM;ALAD;FABP5;FCAR;FCER1G;ALDH3B1;FCGR2A;FCGR3B;FCN1;ADGRG3;ALDOA;AC093512.2;FGR;ENPP4;CD93;RAB18;ALDOC;ERP44;NFASC;CYFIP1;FAF2;ATP11B;NBEAL2;ATP11A;DNAJC13;UBR4;NCSTN;COTL1;COMMD3;FOLR3;HMHA1;ARHGAP45;FPR1;FPR2;HEBP2;CLEC5A;ALOX5;FRK;FTH1;FTL;FUCA1;FUCA2;XRCC6;GAA;QPCT;BRI3;GCA;SVIP;METTL7A;ARMC8;GALNS;AOC1;OSTF1;GDI2;B4GALT1;GLA;SIGLEC9;AMPD3;GLB1;GM2A;GNS;GPI;LAMTOR2;GRN;DBNL;ANPEP;COMMD9;PYCARD;CXCL1;GSN;GSTP1;GUSB;GYG1;DPP7;ACAA1;ANXA2;HBB;NCKAP1L;HEXB;HK3;HLA-B;HLA-C;HMGB1;HMOX2;APAF1;HP;RAB37;APEH;HSPA1A;HSPA1B;HSPA6;HSPA8;HSP90AA1;HSP90AB1;CLEC4D;TMEM173;IDH1;IGF2R;APRT;SLCO4C1;TICAM2;CXCR1;CXCR2;ILF2;IMPDH1;IMPDH2;ITGAL;ITGAM;ITGAV;ITGAX;ITGB2;JUP;TMEM179B;TBC1D10C;ARG1;KPNB1;KRT1;RHOA;C6orf120;NHLRC3;HRNR;FLG2;LAIR1;RHOG;LAMP1;LAMP2;LCN2;LGALS3;RAB44;LRMP;LTA4H;LTF;LYZ;ARSA;ARSB;MAN2B1;MANBA;MGST1;ASAH1;MIF;MME;MMP8;MMP9;MNDA;MPO;TARM1;CEACAM6;ACLY;NDUFC2;NEU1;NFKB1;NME2;PNP;OLR1;ORM1;ORM2;P2RX1;PA2G4;PAFAH1B2;DERA;GOLGA7;DYNC1LI1;RAB9B;PLAC8;ATP6V1D;BIN2;RAB14;YPEL5;CAB39;PECAM1;CALML5;CECR1;ADA2;CFP;PFKL;PGAM1;PGM1;SERPINA1;SERPINB6;ATP6V0C;SERPINB10;PIGR;PKM;PKP1;PLAU;PLAUR;PLD1;ATP6V0A1;GPR84;RAB4B;RAB24;TOLLIP;RHOF;PPBP;CTSA;PPIA;CMTM6;ACPP;LAMTOR1;PGM2;CPPED1;PRCP;PRG2;TMEM30A;PRKCD;CAND1;ACTR10;DNAJC3;PRSS2;PRSS3;PRTN3;AZU1;PSAP;PSEN1;B2M;RETN;KCMF1;NIT2;C16orf62;VPS35L;CD177;SLC44A2;PTAFR;LRRC7;QSOX1;PTPN6;RAP2C;PTPRB;PTPRC;PTPRJ;PTPRN2;PTX3;PYGB;PYGL;TRAPPC1;RAB3A;RAB5B;RAB6A;RAB27A;RAB5C;RAC1;RAP1A;RAP1B;RAP2B;RNASE2;RNASE3;ROCK1;S100A7;S100A8;S100A9;S100A11;S100A12;S100P;SERPINB3;CEACAM1;SDCBP;SELL;TMBIM1;ARHGAP9;MMP25;SLC2A3;SLC2A5;NME1-NME2;SLC11A1;SLPI;SNAP25;SPTAN1;BPI;SRP14;STK10;BST1;SURF4;BST2;TCN1;DYNLT1;TIMP2;TLR2;TNFAIP6;TNFRSF1B;C3;C3AR1;TRPM2;TTR;C5AR1;DEFA1B;DEFA1;DEFA3;TYROBP;VCL;VCP;XRCC5;RAB7A;C1orf35;GSDMD;LPCAT1;ATP8B4;DOK3;DSN1;PTGES2;CEP290;PLEKHO2;DNAJC5;TXNDC5;TSPAN14;CAMP;CAPN1;EPX;CRISPLD2;ATAD3B;MAGT1;HVCN1;CYSTM1;FRMPD3;GHDC;ADGRE3;CAT;CRACR2A;KCNAB2;DEGS1;PDXK;CDK13;RNASET2;LAMTOR3;DYNLL1;VAMP8;DGAT1;SNAP23;SIGLEC5;CREG1;IQGAP1;GGH;VNN1;CPNE3;CPNE1;AP1M1;MGAM;SERPINB12;STBD1;PGLYRP1;SYNGR1;VAPA;CD14;NAPRT;MS4A3;SNAP29;ORMDL3;CD33;CD36;SCAMP1;GMFG;RAB3D;PRDX6;CD44;CD47;CD53;CD58;CD59;CD63;CD68;TMEM63A;ADGRE5;MLEC;CDA;IST1;MVP
R-HSA-2262752	Cellular responses to stress	5.301e-23	5.306e-20	50	375	0.13	Cellular responses to stimuli	Cellular responses to stress	CDK2;CDK6;CITED2;CDKN1A;CEBPB;EGLN2;MAPK14;CREBBP;EPAS1;KDM6B;SIRT1;POT1;NR3C1;H2AFX;HIF1A;EP300;HSPA1A;HSPA1B;HSPA4;HSP90AB1;IL6;HSPA8;AR;JUN;HSP90AA1;NCF4;P4HB;TERF2IP;HIF1AN;BAG1;RPA1;RB1;RBBP7;RELA;SP1;STAT3;HSPA13;PRDX2;TP53;DNAJC7;VCP;YWHAE;TUBA1A;EED;CCNA2;UBE2D1;HIST3H3;HIST1H3B;HIST1H4C;NUP153	HDAC6;DNAJB6;COMMD3-BMI1;RAD50;ACTR1A;CDK2;CDK4;CDK6;CDKN1A;CDKN1B;H2BFS;CDKN2A;DNAJA2;CDKN2B;CDKN2C;CDKN2D;CITED2;TUBA1B;TUBB3;TUBB4A;TUBB4B;ANAPC10;CEBPB;KAT5;DCTN2;TXNRD2;DCTN6;PTGES3;NUP50;HSPH1;EHMT2;PRDX3;STIP1;UBE2C;NUPL2;EGLN2;EGLN3;DCTN3;TUBA3E;TUBA3D;HSPA12B;ANAPC16;HIST4H4;WTIP;HIST2H3C;HIST3H2BB;NUP35;CREBBP;DYNLL2;CRYAB;MAPK14;CYBA;CYBB;DCTN1;DYNC1H1;DYNC1I1;DYNC1I2;DYNC1LI2;E2F1;E2F2;E2F3;PHC1;PHC2;EEF1A1;AGO3;AGO4;EP300;EPAS1;EPO;ERF;ETS1;ETS2;EZH2;HSPA4L;FKBP4;FKBP5;SCMH1;TNIK;TNRC6B;KDM6B;NUP205;NUP210;NUP160;SIRT1;CBX6;NUP188;SUZ12;CABIN1;FOS;NUP62;CDC26;MTOR;HIST1H2BA;GPX6;PRDX5;TXN2;ASF1A;ANAPC15;POT1;HSPA12A;HIGD1A;TINF2;HSPB8;AGO1;DNAJC2;TNRC6A;GPX1;GPX2;GPX3;GPX5;GPX7;NR3C1;GSK3B;GSR;GSTP1;UBN1;ANAPC2;ANAPC4;ERO1A;H1F0;HIST1H1C;HIST1H1D;HIST1H1E;HIST1H1B;HIST1H2AE;HIST1H2AD;H2AFX;H2AFZ;HIST1H2BD;HIST1H2BB;H3F3A;H3F3B;HIST1H1A;HIF1A;HMGA1;NUDT2;HSBP1;HSF1;DNAJA1;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA4;HSPA5;HSPA6;HSPA8;HSPA9;HSP90AA1;HSP90AB1;DNAJB1;HIST2H3A;ID1;IFNB1;TUBB8;TUBB2B;NUP43;IGFBP7;IL1A;IL6;CXCL8;AR;JUN;LMNB1;ARNT;MDM2;MDM4;MAP3K5;NR3C2;MOV10;MRE11A;MRE11;NBN;NCF2;NCF4;ATM;H2AFB1;NFKB1;NUP88;NUP98;GPX8;P4HB;MINK1;NOX4;PRDX1;DYNC1LI1;DCTN4;HSPA14;FZR1;ANAPC5;ANAPC7;C11orf73;HIKESHI;ANAPC11;TUBA8;PGR;NUP54;CYCS;TERF2IP;ATR;EGLN1;HIST2H4B;DNAJA4;HIF1AN;NDC1;NUP133;H2AFJ;ACTR10;MAPK7;MAPK8;MAPK11;MAPK9;MAPK10;MAP2K3;MAP2K6;MAP2K7;NUP107;BAG1;CBX8;RPTOR;EP400;TNRC6C;CCAR2;RANBP2;RB1;RBBP4;RBBP7;RELA;RING1;RNF2;RPA1;RPA2;RPA3;RPS6KA1;RPS6KA2;RPS6KA3;SEC13;MAP2K4;MLST8;HIF3A;ANAPC1;BMI1;ACD;NCF1;HIST2H3D;SOD1;SOD2;SOD3;SP1;ST13;STAT3;HSPA13;TCEB1;ELOC;TCEB2;ELOB;PRDX2;TERF1;TERF2;TFDP1;TFDP2;TP53;TPR;HIST2H2AA4;DNAJC7;TUBA4A;TUBA3C;TUBB2A;HIRA;TXN;TXNRD1;UBE2D1;UBE2D2;UBE2D3;UBE2E1;VCP;VEGFA;VHL;YWHAE;CA9;TUBA1A;MAPKAPK3;NUP37;NOX5;EHMT1;TUBAL3;NUP85;PHC3;NUP214;AAAS;HMGA2;TUBB1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;SEH1L;CAPZA1;HIST3H3;HIST1H4I;CAPZA2;CAPZB;HIST1H2AJ;HIST1H2AC;HIST1H2AB;HIST2H2AA3;HIST2H2AC;HIST1H2BG;HIST1H2BL;HIST1H2BN;HIST1H2BM;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BI;HIST1H2BC;HIST1H2BO;HIST2H2BE;HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;AKT1S1;DCTN5;CUL2;TUBB6;CAT;CBX2;TUBA1C;RAE1;AJUBA;HIST1H2BK;CBX4;MAPKAPK5;DYNLL1;CDC23;EED;CDC16;CCNA2;CCNA1;HIST1H3F;HIST1H2BJ;CCNE1;LIMD1;CCNE2;RPS19BP1;MAPKAPK2;CAPZA3;H2AFV;MAP4K4;BAG5;BAG4;BAG3;BAG2;PRDX6;NUP155;NUP93;NUP58;POM121;CDC27;NUP153;CCS;RBX1
R-HSA-71291	Metabolism of amino acids and derivatives	8.227000000000001e-20	8.235e-17	22	215	0.1	Metabolism	Metabolism of amino acids and derivatives	AASS;FTCD;DAO;DLD;DLST;GLUD1;GLUD2;GOT2;GPT;PSAT1;HDC;MTAP;OAT;OGDH;PCBD1;CHDH;SAT1;BHMT;SMS;SRM;TAT;GPT2	NAALAD2;TSTD1;AASS;SLC25A13;SLC25A15;HRSP12;RIDA;CBSL;CBS;BCKDK;CDO1;CGA;FTCD;SERINC3;SDS;LIAS;HIBADH;HOGA1;AZIN2;SDSL;CKB;CKM;CKMT1B;CKMT2;SLC36A4;TPH2;HYKK;UROC1;CPS1;CARNMT1;CRYM;AMDHD1;SLC25A10;CTH;AANAT;PPM1K;DAO;DBH;NAGS;DBT;DCT;DDC;IDO2;NQO1;DIO1;DIO2;DIO3;DLAT;DLD;DLST;SARDH;AGXT;AHCY;PAOX;FAH;FOLH1;FOLH1B;ALDH9A1;SEPHS2;SLC44A1;FOLH1;GCAT;ETHE1;HAAO;BHMT2;SERINC5;TXN2;GAMT;IL4I1;AMD1;PHGDH;HIBCH;GATM;GCDH;GCSH;ACAD8;GLS2;GNMT;GLDC;GLS;GLUD1;GLUD2;AMT;GLUL;GOT1;GOT2;RIMKLA;GPT;GSTZ1;PYCR2;DMGDH;PSAT1;HSD17B10;HAL;HDC;HGD;HNMT;HPD;GADL1;NAT8L;SERINC2;ACADSB;IDO1;IVD;ASPG;ACAT1;ARG1;ARG2;LIPT2;IYD;MAT1A;ALDH6A1;ASL;MPST;ASMT;ASNS;ASPA;ASS1;MTAP;MTR;MTRR;NDUFAB1;OAT;OAZ1;OAZ2;OCA2;ODC1;OGDH;OTC;ALDH7A1;DUOX2;PAH;PCBD1;SEPSECS;SLC45A2;AADAT;PIPOX;SCLY;AZIN1;PDHA1;LIPT1;PDHA2;PDHB;OAZ3;DUOX1;PNMT;HAO1;SMOX;CKMT1A;AUH;TMLHE;ADI1;CHDH;DHTKD1;PRODH;MCCC1;PSPH;NMRAL1;RIMKLB;SERINC1;CARNS1;PYCR1;ALDH18A1;SQRDL;SQOR;ENOPH1;PRODH2;BCAT1;QDPR;BCAT2;BCKDHA;BCKDHB;SERINC4;SARS;SAT1;BHMT;SRR;MCCC2;SHMT1;AGXT2;SLC3A2;PYCRL;PYCR3;SLC5A5;SLC6A7;SLC6A8;SLC6A11;SLC6A12;SMS;SRM;SUOX;TAT;TDO2;TH;TPH1;TPO;TSHB;TST;TXNRD1;TYR;TYRP1;AGMAT;ASRGL1;PDHX;SLC7A5;SLC25A2;BBOX1;MRI1;GPT2;ADO;PHYKPL;DDO;KMO;SLC25A12;ALDH4A1;CBS;CCBL1;KYAT1;KYNU;SLC25A21;GRHPR
R-HSA-5673001	RAF/MAP kinase cascade	2.695e-19	2.698e-16	23	185	0.12	Signal Transduction	MAPK family signaling cascades	CSK;DUSP5;EGFR;ERBB2;FGG;FN1;FYN;IL2;IL2RB;IL2RG;ARRB1;PPP2R5E;PTK2;SPTBN4;ACTB;RAP1A;SHC1;TGFA;VCL;KBTBD7;CUL3;LAMTOR3;RAPGEF2	RANBP9;RASGRP1;RASA4;CNKSR1;NRG3;FRS3;FRS2;DUSP10;RASGRP4;CSF2;CSF2RA;CSF2RB;CSK;NRG4;PAQR3;KLB;DAB2IP;SPRED1;DLG1;DLG2;DLG3;DLG4;HBEGF;DUSP1;DUSP2;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;EGF;EGFR;SPRED2;ERBB2;ERBB3;ERBB4;EREG;RASGEF1A;FGA;FGB;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGFR1;FGFR3;FGFR2;FGFR4;FGG;RASA3;CNKSR2;FLT3;FLT3LG;FN1;FYN;EPGN;SHC2;RASGRP3;FGF20;GDNF;GFRA1;GFRA2;GFRA3;FGF22;LAT;KSR2;ANGPT1;LAMTOR2;GRIN1;GRIN2B;GRIN2D;HGF;NRG1;IL2;IL2RA;IL2RB;IL2RG;IL3;IL3RA;IL5;IL5RA;IRS1;ITGA2B;ARAF;ITGB3;JAK1;JAK2;JAK3;AREG;KIT;SPRED3;ARRB1;ARRB2;MARK3;MET;KITLG;MAP3K11;NCAM1;NEFL;NF1;NRTN;PEBP1;SPTBN5;PDGFA;PDGFB;PDGFRA;PDGFRB;PHB;SHC3;APBB1IP;IL17RD;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;PPP5C;MAP2K1;MAP2K2;PSPN;PTK2;LRRC7;SPTBN4;PTPRA;RAF1;RAP1A;RAP1B;RASA1;RASA2;RASGRF1;RASGRF2;RET;ACTB;GFRA4;SHC1;RASAL3;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;BRAF;BTC;TEK;TGFA;TLN1;ACTG1;VCL;VWF;YWHAB;FGF23;DUSP16;CAMK2A;CAMK2B;CAMK2D;CAMK2G;BRAP;KBTBD7;WDR83;RASAL1;CUL3;LAMTOR3;IRS2;PEA15;ACTN2;FGF18;FGF17;FGF16;IQGAP1;SYNGAP1;KSR1;ARTN;KL;RASAL2;NRG2;RAPGEF2;FGF19;RBX1
R-HSA-5663202	Diseases of signal transduction	2.162e-17	2.164e-14	52	307	0.17	NA	NA	HDAC5;CDKN1A;CDC37;CREBBP;CSK;CTNNB1;CUX1;EP300;ESR1;EGFR;ERBB2;FYN;FGG;FN1;SND1;HDAC2;HDAC1;HSP90AA1;ARRB1;SMAD2;SMAD3;SMAD4;MYC;NOTCH1;PLCG1;PPP2R5E;PRR5;RAP1A;RBP1;RBP4;ACTB;SKP1;SHC1;STAT1;STAT3;STAT5A;TBL1X;TCF7L2;TGFA;TTR;VAV1;VCL;VCP;TNKS2;MAML2;CUL1;CBL;HDAC3;KAT2B;QKI;NCOR2;HDAC4	AKT3;HDAC6;HDAC5;BCL2L11;MAMLD1;OPN1MW3;OPN1MW2;AKAP9;RASA4;ADAM10;CDK8;CNKSR1;CDKN1A;CDKN1B;ATG7;NRG3;FRS2;FAM114A2;OS9;PAPD7;TENT4A;CPSF6;CNTRL;FGFR1OP;CDC37;ERLIN2;CHUK;CLCN6;PIK3AP1;CREB1;CREBBP;AMER1;MIB2;CSK;CSNK1A1;RDH12;NRG4;CTBP1;CTBP2;CTNNB1;CUX1;KLB;DAB2IP;SPRED1;JAG1;HBEGF;EGF;EGFR;SPRED2;EP300;ERBB2;ERBB3;ERBB4;EREG;AKT1;AKT2;ESR1;ESR2;NAPEPLD;FGA;FGB;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGFR1;FGFR3;FGFR2;FGFR4;FGG;FKBP1A;RASA3;CNKSR2;TRAK1;SNW1;DKK1;FOXO1;FOXO3;MPRIP;FN1;NCSTN;HEY1;HEY2;ABCA4;MTOR;RICTOR;FYN;GAB1;EPGN;FGFR1OP2;FGF20;KAT2A;HEYL;OPN1MW;FGF22;SND1;DKK4;DKK2;ERLEC1;KSR2;DLL1;GSK3A;GSK3B;ICOS;HDAC1;HDAC2;HGF;NRG1;NR4A1;APC;HES1;HSP90AA1;RBPJ;IHH;IRS1;ITGA2B;ARAF;ITGB3;JAG2;JAK2;AREG;KIT;HES5;RHOG;LCK;SPRED3;MYO18A;LMNA;LRP6;LRP5;ARRB1;SMAD2;SMAD3;SMAD4;ARRB2;MARK3;MDM2;MET;KITLG;MAP3K11;FOXO4;MYC;NF1;NOTCH1;PEBP1;DHH;TRAT1;DERL2;APH1A;PDGFA;PDGFB;PDGFRA;HDAC7;PDGFRB;PDPK1;PHB;PIK3CB;PIK3CD;PIK3R2;PLCG1;NEURL1B;APBB1IP;DLL4;ESRP1;RNF43;AGGF1;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;FBXW7;MAML3;PRR5;HHAT;AGK;PSENEN;HDAC8;MAP2K1;MAP2K2;PSEN1;PSEN2;ZC3HAV1;AGTRAP;BAD;PTEN;MIB1;KIAA1549;PTPN11;RAC1;RAC2;RAF1;RAP1A;RAP1B;RASA1;RASA2;RBP1;RBP4;RDH5;ACTB;RLBP1;OPN1SW;BCR;RPS6KB2;SEL1L;STRA6;MLST8;SHC1;SHH;PORCN;RASAL3;SKP1;BRAF;STAT1;STAT3;STAT5A;STAT5B;STRN;BTC;ADAM17;TBL1X;TCF7L2;TGFA;TGFB1;TGFBR1;TGFBR2;TLN1;ACTG1;TSC2;TTR;OPN1MW2;VAV1;VCL;VCP;VWF;YWHAB;ZMYM2;FZD5;MAPKAP1;KREMEN2;TBL1XR1;HDAC11;TNKS2;FGF23;KDM7A;FXR1;CAMK2A;CAMK2B;CAMK2D;CAMK2G;AXIN1;BRAP;FZD4;FZD6;FZD8;APH1B;HDAC10;KREMEN1;CASP9;AKT1S1;RASAL1;MAML2;SYVN1;CUL1;;PIK3R3;AP3B1;TNKS;IRS2;CBL;TRIM24;FGF18;FGF17;FGF16;IQGAP1;SYNGAP1;HDAC3;KSR1;KAT2B;CCNC;WNT3A;PAPSS1;NEURL1;LRRFIP1;LRAT;CD19;KL;ZFYVE9;CD28;CD80;CD86;QKI;RASAL2;BAG4;NRG2;NCOR1;NCOR2;FAM131B;HDAC9;HDAC4;MAML1;GAB2;FGF19;RBX1
R-HSA-71403	Citric acid cycle (TCA cycle)	5.447e-17	5.452e-14	7	22	0.32	Metabolism	The citric acid (TCA) cycle and respiratory electron transport	DLD;DLST;IDH2;IDH3A;IDH3B;IDH3G;OGDH	ME3;CS;DLD;DLST;FH;NNT;IDH2;IDH3A;IDH3B;IDH3G;MDH2;ME2;OGDH;ACO2;SDHA;SDHB;SDHC;SDHD;FAHD1;SUCLG2;SUCLG1;SUCLA2
R-HSA-8856828	Clathrin-mediated endocytosis	5.098e-15	5.103e-12	22	141	0.16	Vesicle-mediated transport	Membrane Trafficking	COPS5;FCHO2;ADRBK1;GRK2;CLTC;AP2A2;DNM2;EGFR;GAPVD1;BIN1;HIP1;HSPA8;IL7R;ARRB1;RAB5A;RAB5C;ACTB;SH3GL2;TFRC;TGFA;STAM;CBL;HGS	ARPC5;ARPC4;ARPC3;ACTR3;ACTR2;ARPC2;STAM2;ARPC1A;TGOLN2;CFTR;COPS8;COPS6;COPS5;STON1;PACSIN2;SNX18;CHRM2;FCHO2;AP2M1;AP2S1;CLTA;CLTB;CLTC;SYT2;SYT9;ADRB2;ADRBK1;GRK2;ADRBK2;GRK3;AP2A1;DAB2;AP2A2;AP2B1;DNM1;DNM2;HBEGF;AGTR1;DVL2;TOR1A;EGF;EGFR;CTTN;EPS15;EREG;AAK1;EPN2;FNBP1;FCHO1;SYT11;PIP5K1C;EPGN;GAK;NECAP1;DNM3;LDLRAP1;GAPVD1;AMPH;TOR1B;BIN1;STON1-GTF2A1L;GPS1;PACSIN3;EPN1;UBQLN2;UBQLN1;SLC2A8;PACSIN1;SH3KBP1;HIP1;AGFG1;HSPA8;APOB;IGF2R;IL7R;AREG;ARF6;LDLR;LRP2;M6PR;ARRB1;ARRB2;NEDD8;OCRL;ITSN2;COPS7A;COPS4;SNX9;PIK3C2A;FNBP1L;AVP;AVPR2;NECAP2;ARFGAP1;EPS15L1;RAB5A;RAB5B;RAB5C;ACTB;ITSN1;SH3GL1;SH3GL2;SH3GL3;COPS7B;SLC18A3;VAMP2;VAMP7;BTC;SYT1;TACR1;TF;TFRC;TGFA;ACTG1;WNT5A;STAM;CLTCL1;PICALM;FZD4;SGIP1;REPS1;COPS3;STON2;CBL;VAMP8;VAMP4;SYNJ1;SYNJ2;WASL;SYT8;HIP1R;HGS;CD3D;CD3G;REPS2;CD4;COPS2;TRIP10;VAMP3;SCARB2;DNAJC6;KIAA0319;SNAP91
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	2.699e-14	2.702e-11	11	67	0.16	Cellular responses to stimuli	Cellular responses to stress	SIRT1;HSPA1A;HSPA1B;HSPA4;HSPA8;BAG1;RPA1;HSPA13;DNAJC7;YWHAE;NUP153	DNAJB6;NUP50;HSPH1;NUPL2;HSPA12B;NUP35;HSPA4L;NUP205;NUP210;NUP160;SIRT1;NUP188;NUP62;HSPA12A;DNAJC2;GSK3B;HSF1;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA4;HSPA5;HSPA6;HSPA8;HSPA9;DNAJB1;NUP43;ATM;NUP88;NUP98;HSPA14;C11orf73;HIKESHI;NUP54;ATR;NDC1;NUP133;NUP107;BAG1;CCAR2;RANBP2;RPA1;RPA2;RPA3;SEC13;ST13;HSPA13;TPR;DNAJC7;YWHAE;NUP37;NUP85;NUP214;AAAS;SEH1L;RAE1;RPS19BP1;MAPKAPK2;BAG5;BAG4;BAG3;BAG2;NUP155;NUP93;NUP58;POM121;NUP153
R-HSA-975634	Retinoid metabolism and transport	6.194e-13	6.2e-10	9	41	0.22	Sensory Perception	Visual phototransduction	APOA1;APOE;LRP1;RDH11;PNLIP;RBP1;RBP2;RBP4;TTR	GPC6;AKR1C4;CLPS;PLB1;AKR1C1;GPC2;GPC4;GPC5;LRP10;GPC3;GPC1;LRP12;HSPG2;APOA1;APOA2;APOB;GPIHBP1;APOC4-APOC2;APOC2;APOC3;APOE;AGRN;LPL;LRP1;LRP2;RDH11;BCO1;PNLIP;APOM;AKR1B10;RBP1;RBP2;RBP4;SDC1;SDC2;SDC4;TTR;LRP8;BCO2;AKR1C3;;LRAT;SDC3
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	6.195e-12	6.201e-9	27	115	0.23	Immune System	Innate Immune System	ATF2;MAPK14;AGER;DNM2;TAB3;APP;IKBKB;IRAK1;IRF3;ITGAM;ITGB2;ECSIT;MYD88;UBE2D1;CASP8;CD36;JUN;RELA;S100A12;SKP1;TLR4;TRAF3;UBE2V1;TNIP2;CUL1;IKBKG;IKBKE	TANK;TMED7-TICAM2;TLR6;NOD1;TAB1;RIPK3;IRAK3;TIRAP;CHUK;MAP3K8;CREB1;ATF2;MAPK14;TICAM1;DNM1;AGER;DNM2;DUSP3;DUSP4;DUSP6;DUSP7;SARM1;TAB2;FBXW11;FOS;LY96;PELI3;TAB3;DNM3;NKIRAS2;NKIRAS1;TBK1;HMGB1;BIRC2;BIRC3;APP;TICAM2;IKBKB;IRAK1;IRAK2;IRF3;IRF7;ITGAM;ITGB2;JUN;TMEM189-UBE2V1;LBP;CD180;MAP3K1;MYD88;ATF1;NFKB1;NFKB2;NFKBIA;NFKBIB;IRAK4;VRK3;ECSIT;PLCG2;PPP2R5D;MAPK7;MAPK8;MAPK11;MAPK9;MAPK10;MAP2K3;MAP2K6;MAP2K7;PELI2;PELI1;PTPN4;PTPN11;SIGIRR;RELA;RPS6KA1;RPS6KA2;RPS6KA3;S100A12;S100B;SAA1;NOD2;MAP2K4;SFTPD;SKP1;SFTPA1;BPI;MAP3K7;BTK;TLR1;TLR2;TLR4;TRAF3;TRAF6;SFTPA2;UBE2D1;UBE2D2;UBE2D3;UBE2N;UBE2V1;MAPKAPK3;TNIP2;CASP8;CUL1;IKBKG;SOCS1;RIPK1;RIPK2;FADD;BTRC;RPS6KA5;MAPKAPK2;CD14;LY86;CD36;IKBKE
